Assembly,Ward,Booth Number,Male,Female,Transgender,TotalVoters,SanataniVoters,AbrahamicVoters,Sanatani_pc,Abrahamic_pc,VoterTurnout,Turnout_pc,BJP,TMC,INC_CPIM_ISF,BJP_Position,BJP_pc,TMC_pc,INC_CPIM_ISF_pc,Winner_pc,Sanatani_D
Kolkata Port,135,1,448,414,0,862,73,789,8.47,91.53,552,64.04,22,499,19,2,3.99,90.4,3.44,90.4,0
Kolkata Port,135,2,506,447,0,953,3,950,0.31,99.69,656,68.84,8,625,19,3,1.22,95.27,2.9,95.27,5
Kolkata Port,135,3,325,318,0,643,13,632,2.02,97.98,514,79.69,6,473,21,3,1.17,92.02,4.09,92.02,0
Kolkata Port,135,4,609,576,0,1185,30,1156,2.53,97.47,862,72.68,23,781,31,3,2.67,90.6,3.6,90.6,0
Kolkata Port,135,5,525,463,0,988,5,983,0.51,99.49,795,80.47,10,688,72,3,1.26,86.54,9.06,86.54,5
Kolkata Port,135,6,712,605,0,1317,5,1311,0.38,99.62,1018,77.36,14,867,111,3,1.38,85.17,10.9,85.17,9
Kolkata Port,135,7,405,370,0,775,43,732,5.55,94.45,627,80.9,34,556,28,2,5.42,88.68,4.47,88.68,0
Kolkata Port,135,8,457,403,0,860,8,852,0.93,99.07,657,76.4,16,585,39,3,2.44,89.04,5.94,89.04,8
Kolkata Port,135,9,334,309,0,643,0,641,0,100,436,68.02,8,389,27,3,1.83,89.22,6.19,89.22,8
Kolkata Port,135,10,394,367,0,761,0,762,0,100,603,79.13,8,536,38,3,1.33,88.89,6.3,88.89,8
Kolkata Port,135,11,640,607,0,1247,3,1248,0.24,99.76,882,70.5,14,803,42,3,1.59,91.04,4.76,91.04,11
Kolkata Port,135,12,565,483,0,1048,8,1039,0.76,99.24,765,73.07,8,706,30,3,1.05,92.29,3.92,92.29,0
Kolkata Port,135,13,471,381,0,852,0,853,0,100,667,78.19,11,585,49,3,1.65,87.71,7.35,87.71,11
Kolkata Port,134,14,501,434,0,935,27,908,2.89,97.11,764,81.71,13,665,64,3,1.7,87.04,8.38,87.04,0
Kolkata Port,134,15,188,177,0,365,51,314,13.97,86.03,270,73.97,22,223,14,2,8.15,82.59,5.19,82.59,0
Kolkata Port,135,16,615,542,0,1157,10,1153,0.86,99.14,847,72.83,8,801,18,3,0.94,94.57,2.13,94.57,0
Kolkata Port,135,17,401,355,0,756,37,714,4.93,95.07,599,79.76,20,551,16,2,3.34,91.99,2.67,91.99,0
Kolkata Port,135,18,428,347,0,775,4,771,0.52,99.48,597,77.03,4,550,25,3,0.67,92.13,4.19,92.13,0
Kolkata Port,135,19,369,352,0,721,3,718,0.42,99.58,569,78.92,11,533,15,3,1.93,93.67,2.64,93.67,8
Kolkata Port,134,20,543,449,1,993,58,936,5.84,94.16,685,68.91,17,642,13,2,2.48,93.72,1.9,93.72,0
Kolkata Port,134,21,522,505,0,1027,9,1018,0.88,99.12,781,76.05,15,726,29,3,1.92,92.96,3.71,92.96,6
Kolkata Port,134,22,474,376,0,850,129,724,15.12,84.88,631,73.97,44,545,27,2,6.97,86.37,4.28,86.37,0
Kolkata Port,134,23,513,418,0,931,155,776,16.65,83.35,647,69.5,49,559,23,2,7.57,86.4,3.55,86.4,0
Kolkata Port,134,24,385,254,0,639,107,532,16.74,83.26,379,59.31,17,338,10,2,4.49,89.18,2.64,89.18,0
Kolkata Port,135,25,561,497,0,1058,15,1045,1.42,98.58,776,73.21,13,715,35,3,1.68,92.14,4.51,92.14,0
Kolkata Port,135,26,582,523,0,1105,49,1054,4.44,95.56,830,75.25,31,738,40,3,3.73,88.92,4.82,88.92,0
